entity_type,request_path,target_path,store_id,redirect_type
custom,1002409-drums-percussion/p2020-hand-mounted-percussion/p2020a-bells/p2020a15-jingle/west-music-be7001-wrist-bells.htm,/,1,301
custom,concert,/drums-percussion/,1,301
custom,specialty-niche/summer-workshops/university-of-nebraska-lincoln-orff-levels,/summer-workshops/university-of-nebraska-lincoln-orff-levels/,1,301
custom,quick-view.aspx?prod=21419,/,1,301
custom,1002412-sound-recording/s1010-microphones/s1010a-condenser/audio-technica-atm350-cardioid-condenser-clip-on-microphone,/,1,301
custom,p/music-basics-colossal-concepts-poster.htm,/,1,301
custom,1002402-group-drumming,/drums-percussion/group-drumming/,1,301
custom,staging/classroom-ukulele-accessories,/classroom-ukulele-accessories/,1,301
custom,music-books-resources/music-classroom-books-materials/musical-plays-revues/disney-s-frozen-jr-showkit-869410/index.php,/music-books-resources/music-classroom-books-materials/musical-plays-revues/disney-s-frozen-jr-showkit-869410/,1,301
custom,stands,/band-orchestra/music-stands-accessories/music-stands/,1,301
custom,p/shure-sm57-lc-instrument-microphone.htm,/,1,301
custom,p/harmonic-vision-music-ace-2-consumer-version.htm,/,1,301
custom,/in-our-stores/Music-Lessons-and-Classes/summer-fun/summer-fun-quad.htm,https://content.westmusic.com/in-our-stores/music-lessons-classes/,1,301
custom,p/zildjian-astblk-travis-barker-sticks-black.htm,/,1,301
custom,p/a-family-christmas-852696,/home,1,301
custom,staging/daddario-deals,/promark-beat-the-price-increase/,1,301
custom,1002405-kids/k5050-under-age-3/k5050c-packages/hohner-kids-hrp-6005-mini-orchestra,/,1,301
custom,in-our-stores/Early-Childhood-Education/splt-winter-2017.htm,https://content.westmusic.com/in-our-stores/early-childhood-education/sing-play-learn-today/,1,301
custom,/search.aspx?tSearch=saxophone+repair,https://content.westmusic.com/in-our-stores/maintenance-and-repair/repair-bandorch/,1,301
custom,1002403-guitars-folk/g7010-guitar-accessories/g7010c-capos/bozung-guitar-barre,/,1,301
custom,1002410-print-music-books/m1120-piano-music/piano-teachers-resource-kit,/,1,301
custom,p/vic-firth-american-classic-rockvg-wood-tip-rock-grip-sticks.htm,/,1,301
custom,1002409-drums-percussion/p1030-world-drums/p1030s-tubanos/p1030s12-key-tunable/remo-100-series-key-tuned-tubano-kintekloth-set-of-3,/drums-percussion/,1,301
custom,p/fender-standard-stratocaster-maple-brown-sunburst-303736,/,1,301
custom,children-s-literature/oh-little-rabbit-860672/index.php,/children-s-literature/oh-little-rabbit-860672/,1,301
custom,1002406-cds-dvds/m5060-movement-dance-cds-dvds/m5060f-folk-social-dance/rhythmically-moving-cd-4.htm,/music-books-resources/cd-dvd/rhythmically-moving-4-850846,1,301
custom,1002403-guitars-folk/g7020-guitar-amplifiers/g7020a-acoustic/genz-benz-shen-150lt-acoustic-guitar-amplifier-150-watts?utm_source=genzbenz,/,1,301
custom,staging/remo-2018-last-chance-to-save,/featured/remo-2018-last-chance-to-save/,1,301
custom,1002397-accessories/g1040-music-stands-accessories/g1040a-stands/west-music-black-wire-stand-with-bag.htmd=01B1C85B-3A55-4BD5-83D5-AE500121FFFB,/,1,301
custom,p/ten-oni-drummers.htm,/,1,301
custom,/kepharts-west,https://content.westmusic.com/kepharts-west/,1,301
custom,p/cf-martin-18apk1m-guitar-picks-medium-12-pack.htm,/,1,301
custom,catalog/2015-drums-percussion.htm,/,1,301
custom,p/audubon-bird-call-with-rosin.htm,/,1,301
custom,tag/bach-stradivarius-lb43.aspx,/,1,301
custom,staging/games-gifts-resources/games-activities/card-games,/games-gifts-resources/games-activities/card-games/,1,301
custom,music-books-resources/music-classroom-books-materials/classroom-curriculum/853124/index.php,/music-books-resources/music-classroom-books-materials/classroom-curriculum/853124/,1,301
custom,conversational-solfege-level-2-cd.htm,/music-books-resources/cd-dvd/conversational-solfege-level-2-cd-850253?returnurl=%2fsearch%3fq%3dconversational%2b%26count%3d18,1,301
custom,s/bass-guitars,/guitars-folk/bass-guitars/,1,301
custom,band-orchestra/marching-equipment-accessories/lyres/index.php,/band-orchestra/marching-equipment-accessories/lyres/,1,301
custom,b/alan-abel,/home,1,301
custom,p/accent-acc-500-clip-on-metronometuner.htm,/,1,301
custom,p/vandoren-traditional-bb-clarinet-reeds-10-pack-strength-2.htm,/,1,301
custom,p/gator-gl-series-lightweight-clarinet-case.htm,/,1,301
custom,deals/select-basic-beat-mallets-10-off/basic-beat-bbfs-wool-felt-mallets-medium-261018/index.php,/deals/select-basic-beat-mallets-10-off/basic-beat-bbfs-wool-felt-mallets-medium-261018/,1,301
custom,p/korogi-desktop-series-eko32-26-octave-padouk-xylophone.htm,/,1,301
custom,quick-view.aspx?prod=3722,/,1,301
custom,p/avid-pro-tools-keystudio-package.htm,/,1,301
custom,store-closing,/store-closing-celebration-sale,1,301
custom,band-orchestra/woodwind-instrument-accessories/woodwind-instrument-mouthpieces/vandoren-b45-clarinet-mouthpiece-450678/index.php,/band-orchestra/woodwind-instrument-accessories/woodwind-instrument-mouthpieces/vandoren-b45-clarinet-mouthpiece-450678/,1,301
custom,1002405-kids/k5030-kids-percussion/k5030b-guiros/hohner-kids-mp370-8-guiro.htm,/drums-percussion/hand-mounted-percussion/shakers-rattles-guiros/hohner-kids-mp-370-8-guiro-with-striker-200888?returnurl=%2fsearch%3fq%3dmp370%26perfion__brand%3dhohner%2bkids,1,301
custom,1002409-drums-percussion/p2020-hand-mounted-percussion/remo-fiberskyn-3-pre-tuned-double-row-tambourines-black-rim.htm,/drums-percussion/hand-mounted-percussion/tambourines/remo-fiberskyn-3-pre-tuned-double-row-tambourines-201437,1,301
custom,1002409-drums-percussion/p2000-cymbals/p2000b-drumset/p2000b11-crash/210299-sabian-b8-series-41406-14-crash-cymbal.htm,/,1,301
custom,Healthrhythms-training/,https://content.westmusic.com/healthrhythms-training/tereasa-evans/,1,301
custom,/articles/a-beginners-blog.htm,https://content.westmusic.com,1,301
custom,orff/orff-instrument-sets/index.php,/orff/,1,301
custom,/search.aspx?tSearch=electric+guitar+repair,https://content.westmusic.com/in-our-stores/maintenance-and-repair/repair-fretted/,1,301
custom,p/80-melody-flashcards.htm,/,1,301
custom,orff-metallophones/sonor-sonor-global-beat-ms-gb-soprano-metallophone-write-review.htm,/specials/dust-free/sonor-global-beat-ms-gb-soprano-metallophone-203819?returnurl=%2fsearch%3fq%3dmetallophone%26perfion__brand%3dsonor%26perfion__series%3dglobal%2bbeat,1,301
custom,staging/kindermusik-books,/featured/kindermusik-books/,1,301
custom,/in-our-stores/In-the-Schools/music-in-our-schools.htm,https://content.westmusic.com/in-our-stores/in-the-schools/,1,301
custom,remosonorrebate,/remo-sonor-rebate/,1,301
custom,specialty-niche/specialty-ordering-pages/honor-choirs/real-men-sing-2018,/realmensing2019/,1,301
custom,specialty-niche/specialty-ordering-pages/regional-schools/waverly-beginning-band,/specialty-ordering-pages/regional-schools/waverly-beginning-band/,1,301
custom,p/meinl-headliner-11-and-12-conga-and-bongo-set-vintage.htm,/,1,301
custom,b/two-rivers-strings,/b/two-river-strings/,1,301
custom,jennywinegarden,/,1,301
custom,p/angel-101-1-piece-c-soprano-recorder.htm,/,1,301
custom,westmusic.com/printmusicrebate2019,https://content.westmusic.com/promotions/,1,301
custom,music-books-resources/guitar-fretted-folk-instrument-music/guitar-fretted-methods-instruction/ukulele-in-the-classroom-book-1-c6-tuning-student-838423/index.php,/music-books-resources/guitar-fretted-folk-instrument-music/guitar-fretted-methods-instruction/ukulele-in-the-classroom-book-1-c6-tuning-student-838423/,1,301
custom,catalog/2015-kids-movement.htm,/,1,301
custom,articles/a-guide-to-the-flute,https://content.westmusic.com,1,301
custom,s/davenport-williamswilsonadams,/specials/davenport-williams-wilson-adams/,1,301
custom,1002403-guitars-folk/g8050-ukuleles/g8050a-soprano/kala-mk-sd-dolphin-bridge-ukulele,/guitars-folk/,1,301
custom,1002403-guitars-folk/g7000-guitars/g7000a-acoustic/g7000a13-classical-folk/oscar-schmidt-oh30s-requinto-latin-guitar,/,1,301
custom,1002409-drums-percussion/p2020-hand-mounted-percussion/p2020a-bells/p2020a12-bell-trees/basic-beat-bbtr8-hand-held-bell-tree,/,1,301
custom,p/animusic.htm,/,1,301
custom,orff-resonator-bells/basic-beat-basic-beat-bbrcb8-resonator-chime-bars.htm,/,1,301
custom,p/on-stage-kb8802-keyboard-and-piano-bench-black.htm,/,1,301
custom,1002410-print-music-books/m1025-children-s-books/m1025e-illustrated-songs/the-tailor-and-the-mouse.htm,/specials/first-steps-in-music-picture-books/the-tailor-and-the-mouse-841805,1,301
custom,p/west-music-bbm8nf-mice-bells-set-of-8.htm,/,1,301
custom,p/latin-percussion-lp011-glo-glow-in-the-dark-chick-ita-shaker-single.htm,/,1,301
custom,www.westmusic.com/live-sound-dj/dj-equipment,/live-sound-recording-software/dj-equipment/,1,301
custom,1002410-print-music-books/m1010-choral-vocal-music/m1010e-sightsinging-books-exercises/folk-song-sight-singing-book-2.htm,/music-books-resources/choral-vocal-music/,1,301
custom,1002406-cds-dvds/m5020-drumming-cds-dvds/m5020b-instruction/introduction-to-the-conga-drum,/,1,301
custom,quick-view.aspx?prod=12454,/,1,301
custom,p/califone-pa-285-voicesaver-personal-pa-5-watts.htm,/,1,301
custom,10-off-storewide/index.php,/,1,301
custom,1002406-cds-dvds/m5040-general-classroom-cds-dvds/m5040c-music-appreciation-history/ken-burns-jazz-collection-5-disc-set,/,1,301
custom,tereasaevans,https://content.westmusic.com/healthrhythms-training/tereasa-evans/,1,301
custom,p/orff-re-echoes-book-1.htm,/,1,301
custom,s/guitar-and-folk-texts-and-reference,/,1,301
custom,music-books-resources/music-classroom-books-materials/kodÃƒÂ¡ly/index.php,/music-books/,1,301
custom,p/old-macdonald-roly-poly-book.htm,/,1,301
custom,1002405-kids/k5000-kids-bells-glockenspiels/k5000a-glockenspiels/sonor-kinder-glockenspiel-w-bag.htm,/,1,301
custom,1002409-drums-percussion/p3010-drum-heads/p3010a-drumset-snare/p3010a10-drumset-bass-drum/remo-ks-0004-ph-single-falam-slam-bass-drum-impact-pads.htm,/,1,301
